label,split,field,n_total,n_nonmissing,missing_rate,mean,p25,p50,p75,min,max
LEGO Ideas,train,current_value_used_eur,190,156,0.17894736842105263,6.734871794871795,2.5275,4.24,9.122499999999999,0.78,37.59
LEGO Ideas,val,year,40,40,0.0,2021.4,2019.0,2023.0,2024.0,2013.0,2025.0
LEGO Ideas,val,year_released,40,40,0.0,2021.4,2019.0,2023.0,2024.0,2013.0,2025.0
LEGO Ideas,val,current_value_new_eur,40,40,0.0,8.83075,3.4349999999999996,5.98,10.87,1.39,49.16
LEGO Ideas,val,current_value_used_eur,40,32,0.2,7.711875,2.895,5.380000000000001,9.7775,1.13,40.11
LEGO Ideas,test,year,42,42,0.0,2022.404761904762,2022.0,2022.0,2024.0,2015.0,2025.0
LEGO Ideas,test,year_released,42,42,0.0,2022.404761904762,2022.0,2022.0,2024.0,2015.0,2025.0
LEGO Ideas,test,current_value_new_eur,42,42,0.0,6.881428571428571,2.8449999999999998,4.17,10.5,1.71,19.47
LEGO Ideas,test,current_value_used_eur,42,29,0.30952380952380953,5.86448275862069,1.96,3.65,9.51,0.96,15.25
Minecraft,train,year,177,177,0.0,2021.5254237288136,2019.0,2022.0,2025.0,2012.0,2026.0
Minecraft,train,year_released,177,177,0.0,2021.5254237288136,2019.0,2022.0,2025.0,2012.0,2026.0
Minecraft,train,current_value_new_eur,177,173,0.022598870056497175,4.530635838150289,2.43,3.68,5.6,0.72,40.34
Minecraft,train,current_value_used_eur,177,154,0.12994350282485875,3.2805844155844155,1.94,2.505,3.5975,0.57,22.56
Minecraft,val,year,37,37,0.0,2020.8108108108108,2017.0,2022.0,2024.0,2014.0,2026.0
Minecraft,val,year_released,37,37,0.0,2020.8108108108108,2017.0,2022.0,2024.0,2014.0,2026.0
Minecraft,val,current_value_new_eur,37,36,0.02702702702702703,7.11361111111111,2.52,3.835,5.7924999999999995,1.41,110.6
Minecraft,val,current_value_used_eur,37,35,0.05405405405405406,4.9557142857142855,1.79,2.76,3.9850000000000003,0.84,72.05
Minecraft,test,year,39,39,0.0,2020.6923076923076,2016.5,2022.0,2024.0,2013.0,2026.0
